id, a9, reg, prov, mun, brgy,a1,a2,a3,a4,a5,b1,b3,b6,b7,b8,b9,b10,b11,b12,c1,c2,c4,c6,c7,c8,c9,c10,e1,e3,d1,d2,d12,d13,d14,d15,d7,d8,d9,d10
220,2,17,24,139,211,2,10,1,1,3,9,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2,17,24,139,212,2,9,1,1,3,9,2,1,1,,1,0,3,3,2,2,3,3,3,1,,1,1,99,0,3,3,9,1,,2,2,2,1
222,2,17,24,139,212,2,11,1,1,4,10,2,2,1,,1,0,4,2,1,2,2,2,2,1,,1,2,2,0,2,3,10,1,,1,99,2,3
223,unknown,17,24,unknown,unknown,1,10,1,1,3,5,2,99,2,,99,0,1,3,1,4,99,2,2,99,2,99,99,2,0,3,3,6,0,0,2,2,2,2
224,2,17,24,139,212,1,10,1,1,3,6,2,2,4,1,3,0,99,99,99,99,99,99,99,99,2,1,99,99,99,99,99,99,99,1,99,99,99,99
225,2,17,24,139,212,2,11,1,1,4,11,2,2,2,,1,0,2,1,2,2,2,1,2,2,,1,3,1,0,1,4,11,1,,3,2,2,3
226,2,17,24,139,212,2,14,1,1,4,11,3,4,1,,1,0,3,4,2,2,2,1,4,4,,1,2,1,0,1,3,11,2,,6,2,1,3
227,2,17,24,139,212,2,14,1,1,4,14,3,3,1,,1,0,1,4,2,2,3,4,3,2,,4,3,1,0,3,2,14,4,,3,2,2,3
228,2,17,24,139,212,2,16,0,1,4,11,3,6,3,2,1,1,4,5,2,2,4,4,5,5,1,4,2,2,1,3,1,11,5,99,7,1,2,3
229,unknown,17,24,unknown,unknown,2,16,1,1,4,15,1,1,1,,1,0,1,2,2,99,1,99,99,,99,2,1,99,99,,,,,99,,,,
230,unknown,17,24,unknown,unknown,1,15,1,1,4,1,2,2,2,,2,1,1,1,3,2,1,2,2,,,2,1,1,0,,,,,,,,,
231,2,17,24,141,214,2,9,1,1,3,8,1,1,1,,99,0,2,1,3,2,3,5,99,1,,1,1,99,0,1,3,8,1,,2,1,2,1
232,2,17,24,141,214,2,11,1,1,3,9,3,1,1,,1,0,3,4,2,2,2,2,4,2,,2,3,1,0,1,2,9,1,,2,2,2,3
234,2,17,24,141,214,2,11,1,1,4,10,4,5,2,,1,1,2,1,2,2,2,2,7,5,,1,1,1,0,2,2,10,5,,7,2,2,2
235,unknown,17,24,unknown,unknown,2,13,1,1,4,13,1,4,2,,1,0,7,1,1,2,3,1,1,1,,3,3,1,0,3,4,13,2,,2,2,2,3
237,2,17,24,141,214,1,12,1,1,4,10,2,1,1,,1,1,4,2,2,2,3,1,1,,1,1,1,1,0,,,,,1,,,,
239,2,17,24,141,214,2,17,1,1,5,13,2,1,1,,1,1,2,1,2,3,3,2,4,1,1,4,4,2,0,1,4,14,1,99,2,3,2,3
240,2,17,24,141,214,1,14,1,1,4,13,2,4,2,,1,1,1,4,1,2,2,2,2,2,2,1,3,2,0,1,99,99,99,1,99,99,99,99
241,2,17,24,141,215,2,9,1,1,3,6,3,2,2,,2,1,3,3,3,3,2,2,2,1,1,2,2,1,0,2,3,6,1,1,5,2,2,3
242,2,17,24,141,215,2,10,1,1,3,8,1,1,5,99,99,99,99,99,2,1,99,99,99,99,99,99,99,99,0,99,99,99,0,0,99,99,99,99
243,2,17,24,141,215,1,10,0,1,3,8,2,1,2,,1,1,2,9,1,3,4,1,1,,1,1,3,1,0,,,,,1,,,,
244,2,17,24,141,215,1,11,1,1,3,11,3,2,2,,1,0,1,2,2,2,2,6,2,,1,2,99,99,99,,,,,99,,,,
245,2,17,24,141,215,2,13,1,1,4,11,3,1,1,,1,1,2,2,2,2,3,1,2,2,,1,4,1,0,2,1,13,5,,7,2,2,3
246,2,17,24,141,215,1,12,1,1,4,10,3,6,6,2,1,1,1,2,2,3,5,2,2,2,2,2,2,2,0,2,1,10,2,0,3,2,2,1
248,2,17,24,141,215,2,16,1,1,5,14,4,2,5,2,1,1,7,11,1,2,3,5,2,1,3,3,3,2,0,2,1,14,2,0,13,1,2,3
249,2,17,24,141,215,1,15,0,1,4,14,2,2,1,,1,0,1,2,2,2,2,1,1,,,2,2,1,0,,,,,,,,,
251,unknown,17,24,unknown,unknown,2,10,1,1,3,8,3,1,2,,1,0,2,3,2,2,3,2,2,2,1,2,3,2,0,1,3,8,5,1,3,1,2,1
252,2,17,24,142,216,2,11,1,1,3,10,3,1,1,,1,1,2,3,1,2,2,2,2,1,1,1,4,1,0,1,3,10,1,99,2,3,2,3
253,unknown,17,24,unknown,unknown,1,10,1,1,3,10,3,99,99,,99,0,3,4,2,3,99,99,2,99,1,99,1,99,99,1,99,10,99,1,99,99,99,99
254,2,17,24,142,216,2,13,0,1,4,12,3,2,1,,1,1,3,4,2,1,2,2,2,2,1,2,3,1,0,3,3,12,5,1,6,1,2,3
255,2,17,24,142,216,2,14,1,1,4,13,2,1,1,,1,0,2,1,2,2,2,1,2,1,,2,3,1,0,1,3,13,1,,4,3,2,3
256,unknown,17,24,unknown,unknown,1,13,0,1,4,12,1,1,6,2,1,1,1,5,1,1,3,4,4,6,4,1,2,,0,2,2,12,3,1,6,1,1,1
257,2,17,24,142,216,1,14,1,1,4,12,2,2,2,,3,0,1,1,2,3,2,2,1,2,1,1,3,99,0,3,99,99,1,0,99,99,2,1
258,2,17,24,142,216,2,15,1,1,4,10,2,4,4,1,1,0,1,1,2,1,2,2,6,6,1,2,4,2,0,2,3,12,1,0,6,1,2,3
259,2,17,24,142,216,2,17,1,1,5,13,2,7,2,,1,1,12,12,1,3,2,1,2,1,,4,3,1,0,2,5,13,5,,99,2,2,3
260,unknown,17,24,unknown,unknown,1,16,1,1,4,15,2,6,2,,1,1,3,12,2,99,2,2,4,4,1,2,3,1,0,2,3,15,1,0,16,2,1,2
261,unknown,4,7,unknown,unknown,2,10,1,1,3,9,3,4,1,,1,0,3,3,2,3,3,2,3,3,,3,3,1,0,1,3,9,1,,5,3,2,3
262,2,4,7,42,55,2,11,1,1,3,10,1,1,1,,1,1,2,12,2,1,2,1,1,2,,1,3,1,0,1,3,10,1,,4,1,2,3
263,2,4,7,42,55,1,10,1,1,3,9,2,4,1,,2,1,1,3,2,2,99,99,99,99,1,99,1,1,99,99,4,9,0,0,3,1,99,99
264,2,4,7,42,55,2,12,1,1,3,10,4,5,2,,1,0,4,6,2,2,2,99,99,1,1,3,1,1,0,3,3,10,1,1,4,1,2,2
265,2,4,7,42,55,2,12,0,1,3,10,1,1,1,,1,0,3,3,2,2,99,99,99,99,99,1,99,99,0,99,3,10,99,99,99,99,99,99
267,2,4,7,42,55,1,14,1,1,4,11,3,1,1,,2,1,4,4,2,3,3,2,5,2,2,2,2,1,0,3,4,11,1,0,4,2,2,4
268,2,4,7,42,55,2,17,1,1,3,15,4,2,1,,1,1,1,4,2,2,2,99,99,99,99,1,2,1,0,2,4,15,1,99,7,1,2,2
269,unknown,4,7,unknown,unknown,2,16,99,1,5,13,2,2,2,,1,0,12,2,2,3,2,2,2,2,,1,3,3,0,2,5,13,99,,7,1,2,2
271,2,4,7,43,56,2,12,0,1,4,10,2,3,5,1,1,0,1,1,3,1,2,1,4,,,1,2,1,0,,,,,,,,,
275,2,4,7,43,56,2,11,1,1,3,10,3,1,1,,1,0,3,1,2,1,2,99,99,2,,1,1,,0,3,3,10,1,,4,2,2,3
276,2,4,7,43,56,2,14,1,1,4,13,3,5,5,1,1,1,4,4,2,2,4,5,4,5,5,2,3,2,1,3,2,13,2,0,8,1,2,3
278,2,4,7,43,56,2,17,1,1,5,9,2,1,1,,1,1,3,3,2,2,2,99,99,99,,2,3,,0,1,1,9,1,,14,1,2,3
282,2,4,7,44,57,2,11,1,1,3,11,3,3,4,1,1,0,3,3,2,1,3,3,3,,3,4,3,2,0,,,,,0,,,,
283,2,4,7,44,57,1,9,1,1,3,9,3,1,1,,3,0,99,3,3,3,1,1,1,,2,2,3,1,0,,,,,1,,,,
285,2,4,7,44,57,2,14,1,1,4,13,2,1,1,,1,0,3,3,2,2,2,1,1,1,1,2,3,1,0,2,1,13,1,0,6,1,2,2
286,2,4,7,44,57,1,12,0,1,4,9,2,1,1,,1,0,99,1,2,3,2,1,99,1,1,1,3,,0,1,3,9,1,99,7,1,2,1
287,2,4,7,44,57,1,13,1,1,3,99,1,1,1,,1,0,99,99,99,5,99,1,1,1,1,1,99,,99,99,99,99,99,1,99,99,99,99
289,2,4,7,44,57,2,15,1,1,4,11,3,2,7,2,1,1,4,4,1,3,2,4,4,1,,7,3,1,1,1,1,11,2,,8,2,2,2
291,2,4,7,45,58,2,11,1,1,4,99,1,1,1,,1,0,12,1,5,1,2,1,1,,,1,1,,99,,,,,,,,,
292,2,4,7,45,58,2,12,0,1,4,10,2,1,1,,1,1,2,5,2,2,2,2,2,2,,1,3,1,0,3,3,10,2,,2,1,2,3
294,2,4,7,45,58,2,14,1,1,4,11,3,1,2,,1,1,3,1,1,1,2,2,2,1,,1,3,1,0,1,1,11,2,,5,1,2,3
295,2,4,7,45,58,1,14,1,1,4,13,2,1,1,,1,1,4,5,2,2,2,1,1,1,,1,3,1,0,1,4,13,1,,4,1,2,3
296,2,4,7,45,58,1,14,1,1,4,99,1,1,1,,1,0,1,1,3,2,1,1,5,,1,1,1,,0,,,,,1,,,,
297,2,4,7,45,58,2,16,1,1,5,11,2,2,1,,1,1,3,4,2,3,2,1,1,1,1,2,3,1,0,1,3,11,1,1,4,1,2,3
298,2,4,7,45,58,1,15,1,1,4,15,1,2,2,,1,0,1,1,1,3,1,1,1,,1,1,3,,99,,,,,0,,,,
299,2,4,7,45,58,2,16,1,1,5,11,4,5,5,2,1,1,9,11,1,2,3,5,5,2,1,4,3,2,1,1,1,11,1,1,8,1,2,2
300,2,4,7,45,58,2,14,1,1,4,10,2,1,3,2,1,1,1,6,2,2,2,1,4,2,,3,3,1,0,1,3,10,2,,4,1,2,4
301,1,4,7,42,55,2,10,1,1,3,10,2,1,1,,1,1,4,4,2,2,2,1,1,1,1,4,1,1,99,1,99,99,0,1,99,99,99,99
303,unknown,4,7,unknown,unknown,1,11,1,1,3,10,3,3,5,2,1,1,1,3,2,1,3,2,2,2,2,1,3,2,0,1,2,11,1,0,2,2,2,3
304,2,4,7,45,59,2,13,1,1,4,11,3,6,2,,1,1,3,7,2,3,2,99,99,99,99,4,3,99,1,3,3,11,0,0,7,2,2,2
305,2,4,7,45,59,2,12,1,1,4,12,1,1,1,,1,0,3,3,1,2,3,1,1,1,1,1,1,1,0,1,3,12,1,1,2,1,2,3
306,2,4,7,45,59,1,14,1,1,3,13,3,4,4,1,1,0,3,3,2,2,3,1,1,1,,1,3,,0,3,2,13,5,,6,2,2,4
307,2,4,7,45,59,1,12,1,1,3,11,2,1,1,,1,0,3,3,1,3,3,1,1,1,,1,1,,0,1,3,10,1,,2,2,1,2
309,unknown,4,7,unknown,unknown,2,14,1,1,5,12,3,4,1,,1,1,6,7,3,3,3,2,2,2,1,2,4,2,0,1,1,12,4,1,8,1,2,2
311,2,4,7,46,60,2,9,1,1,3,7,1,1,4,1,1,0,2,2,2,3,2,2,2,,4,1,1,1,1,,,,,1,,,,
314,2,4,7,46,60,1,11,1,1,3,9,4,1,4,2,1,1,3,5,1,3,2,2,2,2,1,1,3,1,0,1,1,9,2,1,3,1,1,4
316,2,4,7,46,60,2,12,1,1,4,10,3,1,5,2,1,0,4,3,2,1,5,2,2,1,1,2,4,1,0,1,3,10,5,99,15,1,2,3
317,2,4,7,46,60,1,12,1,1,4,10,1,1,4,1,99,1,2,1,3,3,1,2,2,1,1,1,1,1,0,99,4,10,2,1,2,99,2,3
320,2,4,7,46,60,1,16,1,1,5,12,3,2,6,2,1,1,4,9,1,3,3,4,5,5,1,2,2,1,0,2,1,12,1,1,6,1,2,3
321,2,4,7,47,61,2,12,1,1,4,11,2,4,4,1,2,1,1,4,2,3,2,2,2,2,2,2,3,2,1,2,4,11,1,1,1,1,1,3
322,2,4,7,47,61,2,11,0,1,4,11,2,2,2,,1,0,12,1,2,2,2,1,1,1,1,2,2,1,0,2,4,99,99,1,99,4,3,7
323,2,4,7,47,61,1,11,1,1,3,11,99,99,99,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99
324,2,4,7,47,61,2,15,1,1,4,14,2,2,4,1,1,0,3,5,2,2,3,2,4,2,4,1,4,2,1,2,2,14,2,0,2,2,2,2
326,2,4,7,47,61,2,14,1,1,4,13,2,1,1,,1,0,3,3,2,2,2,1,1,,1,2,1,,0,,,,,1,,,,
327,2,4,7,47,61,1,11,1,1,4,10,3,4,2,,1,1,12,2,2,2,3,2,2,2,1,2,2,1,0,1,1,10,1,1,1,1,2,3
329,2,4,7,47,61,2,16,0,1,4,99,1,1,4,2,1,1,3,3,1,2,2,1,3,1,,2,2,,0,2,3,14,2,,5,1,2,2
331,2,4,7,47,62,2,10,0,1,3,9,2,1,1,,1,1,3,3,3,3,3,1,1,1,,4,1,,0,1,3,9,1,,3,1,1,3
332,2,4,7,47,62,1,11,1,1,3,11,3,2,2,,2,1,4,3,1,3,2,1,1,1,1,2,3,2,0,1,1,7,4,1,5,1,2,3
333,2,4,7,47,62,1,12,1,1,4,10,4,1,5,2,99,1,5,5,2,2,99,1,1,1,99,99,3,1,1,1,3,10,1,1,7,3,2,2
334,2,4,7,47,62,2,11,0,1,3,9,3,4,1,,1,0,1,1,3,2,5,4,4,1,1,4,2,1,0,1,2,9,1,1,4,1,2,2
336,2,4,7,47,62,1,14,1,1,4,9,3,2,6,1,1,0,4,5,2,2,5,2,2,1,1,3,3,1,0,1,3,10,1,1,4,2,2,3
338,2,4,7,47,62,2,17,1,1,5,13,2,2,1,,1,1,8,9,1,3,2,1,2,1,,4,3,,0,2,4,13,5,,6,1,2,2
340,2,4,7,47,62,1,15,0,1,5,11,3,4,5,2,1,0,4,4,2,2,2,2,4,2,1,3,2,1,0,99,99,99,99,99,99,99,99,99
341,2,4,7,48,63,2,13,0,1,4,12,2,2,2,,1,1,3,1,2,2,2,1,1,1,,,,,,,,,,,,,,
342,2,4,7,48,63,1,10,1,1,3,10,2,2,8,,2,0,3,4,1,3,2,2,4,1,1,4,1,1,0,3,4,9,1,1,2,2,1,3
344,unknown,4,7,unknown,unknown,1,11,1,1,3,6,3,1,2,,3,0,3,3,2,2,4,1,1,1,1,1,2,3,0,2,3,6,2,0,5,1,1,3
345,2,4,7,48,63,2,12,1,1,4,10,2,2,1,,1,1,2,1,2,2,2,5,2,4,1,2,3,1,0,1,3,10,2,0,6,1,2,3
348,2,4,7,42,55,2,15,1,1,4,13,2,1,1,,1,1,3,1,2,2,2,1,1,1,,2,3,2,0,3,1,13,1,,5,1,2,3
349,2,4,7,48,63,2,17,1,1,5,13,2,2,2,,1,1,3,6,2,2,2,1,2,2,1,4,3,2,1,1,3,15,5,99,6,1,1,3
351,2,13,19,113,163,1,12,1,1,5,9,2,4,1,,1,0,3,5,2,3,1,1,1,1,1,2,3,2,0,1,4,11,1,0,5,3,1,3
352,2,13,19,113,163,1,16,0,1,5,9,3,2,2,,2,1,7,6,2,2,2,4,2,2,2,2,3,1,0,2,1,9,2,0,2,2,2,3
354,2,13,19,113,163,2,14,1,1,4,11,2,2,1,,1,1,8,10,1,3,4,2,2,1,1,3,4,2,1,2,2,11,1,1,9,1,2,5
355,unknown,13,19,unknown,unknown,2,15,1,99,3,11,2,1,1,,1,0,1,1,3,2,2,2,1,,1,1,2,,0,,,,,0,,,,
359,2,13,19,113,163,2,16,1,1,5,12,3,2,5,2,1,0,3,3,1,2,2,2,1,2,2,2,3,2,1,5,1,12,5,99,7,1,2,4
361,2,13,19,113,164,2,11,0,1,5,7,2,1,2,,1,1,3,5,2,1,4,2,4,2,1,2,3,2,1,1,1,9,1,1,4,1,2,3
362,2,13,19,113,164,1,10,1,1,3,8,3,1,5,2,2,1,2,3,2,2,2,1,3,2,2,2,3,2,0,2,1,8,1,1,2,1,2,1
363,2,13,19,113,164,2,13,0,1,4,11,2,2,2,,1,0,1,1,3,2,1,1,2,,,2,1,1,0,,,,,,,,,
364,2,13,19,113,164,1,14,1,0,4,8,2,1,1,,1,0,3,2,3,2,5,5,4,,99,4,3,3,0,,,,,0,,,,
365,2,13,19,113,164,1,14,1,1,4,13,4,1,1,,1,1,2,2,1,3,4,2,2,1,1,2,3,1,0,3,3,99,5,0,3,1,2,1
366,1,13,19,113,164,2,16,1,1,4,11,3,1,1,,1,1,7,9,1,3,6,7,7,7,1,7,4,2,1,3,3,12,1,99,7,2,2,3
371,unknown,13,19,unknown,unknown,1,10,1,1,3,9,1,1,1,,1,0,1,1,2,2,1,1,1,1,,1,1,1,0,2,3,9,1,,2,1,1,2
372,2,13,19,113,165,2,11,1,1,3,8,99,2,2,,1,1,2,3,1,3,2,2,99,99,,99,3,1,0,1,3,8,5,,99,1,99,3
373,2,13,19,113,164,2,15,1,0,4,10,3,5,1,,1,0,2,7,1,3,1,7,4,2,,3,3,1,0,2,2,10,5,,2,2,2,3
374,2,13,19,113,165,1,10,1,1,3,6,2,1,1,,3,0,1,3,1,1,1,2,1,,3,2,1,,0,,,,,0,,,,
375,2,13,19,113,165,2,12,0,1,4,99,2,4,1,,2,0,3,7,1,3,3,4,5,4,1,2,3,1,0,3,2,9,1,1,7,1,2,4
377,2,13,19,113,165,2,16,1,1,5,10,4,2,7,2,1,1,1,9,1,3,4,5,5,99,99,99,3,2,1,1,1,10,4,0,10,1,2,4
378,unknown,13,19,unknown,unknown,1,14,1,1,4,11,2,2,1,,1,0,3,4,1,1,1,1,1,,1,1,1,1,0,,,,,0,,,,
381,2,13,19,113,166,2,15,1,1,4,8,4,6,1,,2,0,8,8,1,3,2,2,2,2,2,2,3,2,1,2,2,8,1,0,5,1,2,2
382,2,13,19,113,171,1,13,1,1,4,10,3,4,4,1,1,0,4,1,2,1,3,3,2,2,1,5,3,2,1,2,1,11,2,0,1,1,1,4
383,unknown,13,19,unknown,unknown,2,11,1,1,3,9,2,2,3,2,1,1,12,12,2,2,2,1,1,3,1,2,2,3,0,1,1,10,5,99,5,1,2,2
384,unknown,13,19,unknown,unknown,2,15,1,1,4,12,3,5,6,2,1,0,3,8,2,2,4,4,1,1,1,4,3,2,1,2,2,12,1,0,10,1,2,2
387,2,13,19,113,166,2,15,1,1,4,9,3,2,1,,2,1,8,11,1,2,4,4,3,3,3,2,4,2,1,2,1,10,1,0,7,3,2,5
388,2,13,19,113,166,1,17,1,1,5,11,3,4,2,,1,1,12,12,2,5,2,1,1,2,1,2,3,2,0,1,4,11,1,99,6,2,3,7
390,2,13,19,113,166,2,10,1,1,3,8,4,1,1,,2,1,2,4,1,2,2,1,1,1,1,1,1,1,0,2,2,9,1,1,4,1,2,5
393,2,13,19,113,167,2,16,1,1,4,9,2,2,6,2,1,1,7,7,2,3,3,6,1,6,1,5,3,2,1,3,3,9,2,0,8,1,2,3
395,2,13,19,113,167,1,15,1,1,4,12,4,2,2,,1,0,9,9,2,2,2,4,2,2,5,2,4,2,1,2,2,12,1,0,6,2,2,2
401,unknown,13,19,unknown,unknown,2,11,1,1,3,7,1,1,1,,1,0,3,1,2,99,3,3,99,99,99,99,3,99,0,1,99,10,2,99,3,1,1,99
402,2,13,19,113,168,1,12,1,1,3,9,3,1,3,1,1,1,3,99,2,1,4,1,1,2,99,3,3,,0,99,4,9,5,0,4,1,2,99
403,2,13,19,113,168,1,16,1,1,5,10,2,4,4,2,2,1,4,6,2,2,5,4,5,2,4,5,1,2,1,2,1,10,2,0,7,1,2,3
404,2,13,19,113,168,2,9,1,1,3,9,3,1,5,1,1,1,10,11,1,3,1,5,2,1,1,1,3,1,1,1,2,6,5,1,3,1,2,2
405,2,13,19,113,168,1,14,0,1,3,10,2,1,1,,1,1,4,1,2,2,3,1,2,3,1,1,3,,0,1,4,12,1,0,5,1,2,6
406,2,13,19,113,168,1,16,1,1,4,12,4,4,2,,1,1,7,9,2,2,3,2,2,2,3,2,4,1,0,1,1,12,1,0,7,1,2,2
409,2,13,19,113,168,2,14,1,1,4,11,3,3,4,2,1,1,3,3,1,2,3,3,4,3,5,4,3,1,0,3,1,11,1,1,5,1,2,2
410,2,13,19,113,168,2,9,1,1,3,8,3,3,3,2,1,1,99,99,3,1,1,3,1,,,2,1,1,0,,,,,,,,,
411,2,13,19,113,169,2,9,1,1,3,8,2,1,2,,2,1,3,5,3,3,6,1,4,,2,2,1,1,99,,,,,1,,,,
412,2,13,19,113,169,2,10,1,1,3,8,3,2,1,,2,0,3,4,1,2,3,1,4,1,1,1,3,,0,2,3,9,1,1,1,1,2,2
413,2,13,19,113,169,2,13,0,1,7,10,3,2,2,,1,0,5,7,3,2,99,2,2,2,2,3,3,,0,1,3,10,5,1,16,1,2,2
414,unknown,13,19,unknown,unknown,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,2,13,19,113,169,1,14,1,0,4,12,3,2,2,,2,0,5,5,2,3,4,2,2,4,2,4,4,2,0,2,1,12,1,0,8,1,2,3
416,2,13,19,113,169,2,10,1,1,3,6,4,2,5,2,1,1,1,2,2,3,2,1,1,1,,1,3,1,0,1,2,6,1,,5,1,2,2
417,2,13,19,113,169,2,12,1,1,4,10,4,1,7,1,1,0,1,4,2,3,6,4,1,1,1,1,4,1,0,1,3,10,2,1,6,1,2,5
418,unknown,13,19,unknown,unknown,2,12,1,1,3,7,2,6,5,2,1,0,3,3,1,2,3,2,99,99,2,99,3,3,0,3,99,7,2,99,5,1,2,5
421,2,13,19,113,170,2,15,1,1,4,13,3,5,5,1,1,0,4,4,1,3,3,4,4,4,,1,3,2,0,1,4,13,1,,6,1,2,2
422,unknown,13,19,unknown,unknown,2,17,1,1,5,10,4,2,2,,1,1,2,7,1,2,2,2,2,2,2,99,3,2,0,2,1,12,5,99,8,2,2,2
424,2,13,19,113,170,2,10,0,1,3,9,2,1,2,,1,0,3,5,1,1,3,1,2,,,1,1,,0,,,,,,,,,
425,2,13,19,113,170,2,12,1,1,4,6,4,7,7,2,1,1,12,12,1,3,4,4,2,2,1,4,3,2,0,3,2,9,2,99,6,1,2,2
426,2,13,19,113,170,2,11,1,1,3,8,3,2,1,,1,1,5,7,2,2,3,2,2,4,4,4,3,1,1,2,3,8,1,1,8,1,2,3
428,2,13,19,113,170,1,14,1,1,4,12,4,1,2,,2,0,2,4,1,3,2,5,5,2,1,2,3,2,0,3,3,12,1,0,2,1,2,2
429,2,13,19,113,170,1,17,1,0,3,9,3,1,4,2,1,1,3,1,3,99,2,1,1,1,1,1,1,2,0,1,4,10,5,1,5,99,1,1
430,2,13,19,113,170,2,16,1,1,5,13,1,2,1,,1,1,4,7,2,2,2,2,2,3,,4,3,2,0,1,3,13,5,,7,1,2,3
431,2,13,19,113,171,1,14,0,99,4,10,1,1,1,,1,0,4,4,2,3,2,2,2,2,2,2,3,,0,1,1,10,2,0,3,1,2,3
432,unknown,13,19,unknown,unknown,1,11,1,1,3,9,2,1,1,,99,0,3,3,1,2,2,1,1,1,1,2,4,,0,1,2,9,1,0,5,2,2,2
434,2,13,19,113,171,1,16,0,0,4,10,2,1,1,,2,0,3,6,1,3,2,2,2,2,,4,4,2,0,1,2,14,2,,7,2,2,3
436,2,13,19,113,171,2,10,1,1,3,9,2,2,1,,1,0,2,2,1,1,1,1,1,,,1,1,1,0,,,,,,,,,
438,2,13,19,113,171,2,14,0,1,4,11,4,5,1,,2,1,12,12,1,4,6,6,1,1,1,6,4,1,0,4,3,10,5,0,16,1,2,4
439,2,13,19,113,171,1,15,1,1,4,12,2,5,2,,3,0,5,9,1,3,3,2,1,3,4,2,2,1,0,3,2,12,5,0,1,2,2,2
440,2,13,19,113,171,2,10,1,1,3,9,4,1,1,,1,0,5,8,2,4,6,1,1,1,1,1,2,,0,1,3,9,2,0,6,1,2,3
441,2,1,1,1,1,1,17,1,1,4,15,2,2,99,,1,0,8,12,1,2,5,99,,,,,,,,,,,,,,,,
442,2,1,1,1,1,2,12,1,1,3,9,2,2,2,,2,1,1,2,2,2,2,4,2,4,1,1,2,1,99,2,3,99,1,1,2,1,2,3
443,2,1,1,1,1,1,11,1,1,3,99,99,8,1,,1,0,99,1,99,99,99,1,1,1,1,1,1,,99,3,99,99,99,99,99,99,1,99
444,2,1,1,1,1,1,14,1,0,4,14,4,5,7,2,1,1,8,8,1,1,1,1,1,1,,2,4,2,0,3,4,11,1,,8,1,2,3
445,2,1,1,1,1,1,13,1,1,4,12,4,1,7,1,2,1,1,9,1,4,4,5,1,2,1,2,4,1,0,1,1,12,1,0,8,1,2,2
446,1,1,1,1,1,2,14,1,1,4,14,2,2,6,1,1,1,2,5,2,3,2,2,1,2,,2,3,1,0,3,2,14,1,,7,1,2,1
447,2,1,1,1,1,2,13,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,2,1,1,1,1,1,16,1,1,5,12,4,2,7,2,2,1,9,9,1,4,2,5,2,2,1,2,4,2,1,1,1,12,5,0,11,1,2,2
449,1,1,1,1,1,2,14,1,1,4,12,4,5,3,1,1,1,6,7,2,2,6,2,7,2,1,7,4,2,1,2,2,12,2,0,4,1,2,3
451,2,1,1,1,2,2,10,1,1,3,10,2,1,1,,1,0,9,9,1,3,3,2,5,2,1,1,4,1,0,3,3,9,1,1,3,2,2,2
453,unknown,1,1,unknown,unknown,1,9,1,1,3,8,2,4,2,,1,1,2,3,2,2,2,3,1,1,2,1,2,3,0,5,5,8,0,0,1,4,3,7
454,2,1,1,1,2,1,13,1,1,3,13,2,2,8,,1,0,2,4,5,2,3,1,2,4,2,2,4,1,0,1,4,12,1,0,3,4,2,1
455,unknown,1,1,unknown,unknown,2,14,1,1,4,12,4,5,5,2,1,1,4,10,1,3,4,3,2,1,,2,3,2,0,2,2,12,1,,12,1,2,5
459,2,1,1,1,2,1,17,1,1,5,14,2,2,2,,1,1,1,12,2,3,2,2,5,6,2,2,2,1,0,3,1,14,1,0,8,1,2,1
461,2,1,1,2,3,1,9,1,1,3,8,1,1,1,,1,0,3,1,1,3,2,2,2,,,1,1,1,0,,,,,,,,,
462,2,1,1,2,3,2,13,1,1,4,12,3,2,1,,1,0,9,9,2,2,2,5,5,5,1,2,3,2,1,2,1,12,1,1,7,2,2,3
463,2,1,1,2,3,1,9,1,1,3,9,1,2,1,,1,0,1,1,1,3,1,2,2,,2,1,1,,0,,,,,0,,,,
464,2,1,1,2,3,2,14,1,1,4,12,2,4,1,,1,0,2,3,1,3,3,2,2,1,,2,3,,0,2,3,12,1,,4,1,2,2
465,2,1,1,2,3,2,14,1,1,4,12,2,3,4,2,1,1,3,3,2,2,2,2,2,1,,4,3,2,0,1,3,12,2,,4,1,2,2
466,2,1,1,2,3,1,14,1,1,4,11,2,1,1,,1,1,12,4,1,3,6,1,1,1,1,1,3,1,0,1,3,12,5,0,3,1,2,3
467,2,1,1,2,3,2,15,1,1,5,11,4,2,5,1,1,1,7,8,2,3,3,4,2,1,,1,3,1,0,2,3,11,1,,8,1,2,3
468,1,1,1,2,3,2,16,1,1,5,10,4,6,7,2,1,1,1,7,1,4,5,4,4,4,2,4,4,2,0,4,1,16,3,1,6,2,2,3
469,2,1,1,2,3,1,15,1,1,4,10,2,1,2,,1,1,4,6,2,4,2,2,2,2,,2,3,1,0,1,2,12,5,,7,1,2,3
470,2,1,1,2,3,1,16,1,1,4,15,2,2,1,,1,1,2,3,2,3,1,1,1,1,,1,1,,0,3,3,15,4,,1,2,1,1
473,2,1,1,3,4,1,10,1,0,3,9,4,2,1,,1,0,6,6,2,2,3,2,2,2,1,1,3,1,0,2,3,9,1,1,5,1,2,3
474,2,1,1,3,4,2,10,0,1,3,7,2,1,4,1,1,1,12,2,1,3,4,4,1,4,1,1,3,,0,3,3,7,1,1,2,1,2,5
